DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,superkingdom unchar
COLOR,#2E2D97
COLOR_BRANCHES,1
STRIP_WIDTH,50
DATA
bfd_054277,#BF8F6B
bfd_001952,#BF8F6B
bfd_030621,#BF8F6B
bfd_122006,#995FBC
bfd_039070,#C3CAD7
bfd_141534,#BF8F6B
bfd_004930,#C3CAD7
bfd_045443,#C3CAD7
bfd_122010,#BF8F6B
bfd_040188,#BF8F6B
bfd_066799,#BF8F6B
bfd_035852,#BF8F6B
bfd_054281,#BF8F6B
bfd_067453,#995FBC
bfd_113909,#BF8F6B
bfd_008803,#C3CAD7
bfd_123690,#BF8F6B
bfd_055430,#FF9481
bfd_012111,#BF8F6B
bfd_024319,#2E2D97
bfd_100724,#BF8F6B
bfd_046978,#C3CAD7
bfd_045405,#BF8F6B
bfd_004225,#BF8F6B
bfd_026839,#BF8F6B
bfd_051588,#995FBC
bfd_070050,#BF8F6B
bfd_044935,#BF8F6B
bfd_040907,#BF8F6B
bfd_005474,#C3CAD7
bfd_001145,#995FBC
bfd_268302,#BF8F6B
bfd_087580,#BF8F6B
bfd_030631,#BF8F6B
bfd_056946,#BF8F6B
bfd_077236,#BF8F6B
bfd_014013,#BF8F6B
bfd_047925,#995FBC
bfd_011702,#BF8F6B
bfd_170733,#BF8F6B
bfd_005720,#BF8F6B
bfd_026316,#BF8F6B
bfd_013358,#C3CAD7
bfd_012694,#BF8F6B
bfd_064473,#BF8F6B
bfd_009104,#BF8F6B
bfd_048728,#BF8F6B
bfd_002386,#C3CAD7
bfd_023057,#BF8F6B
bfd_016348,#BF8F6B
bfd_089286,#BF8F6B
bfd_035812,#995FBC
bfd_002496,#C3CAD7
bfd_064137,#BF8F6B
bfd_095918,#BF8F6B
bfd_008627,#BF8F6B
bfd_046890,#BF8F6B
bfd_022899,#BF8F6B
bfd_023458,#BF8F6B
bfd_018228,#BF8F6B
bfd_031602,#BF8F6B
bfd_014082,#BF8F6B
bfd_096111,#BF8F6B
bfd_085099,#BF8F6B
bfd_012177,#C3CAD7
bfd_167409,#FF9481
bfd_136212,#995FBC
bfd_022708,#BF8F6B
bfd_011780,#BF8F6B
bfd_010754,#C3CAD7
bfd_015887,#BF8F6B
bfd_059060,#C3CAD7
bfd_007095,#C3CAD7
bfd_049096,#BEDF7C
bfd_078762,#BF8F6B
bfd_005614,#BF8F6B
bfd_022429,#995FBC
bfd_011567,#BF8F6B
bfd_051879,#BF8F6B
bfd_055253,#995FBC
bfd_015993,#BF8F6B
bfd_003413,#FF9481
bfd_055198,#BF8F6B
bfd_102435,#BF8F6B
bfd_005940,#BF8F6B
bfd_018990,#BF8F6B
bfd_002027,#BF8F6B
bfd_048759,#BF8F6B
bfd_022439,#BF8F6B
bfd_007535,#BF8F6B
bfd_003931,#BF8F6B
bfd_007735,#BF8F6B
bfd_045741,#BF8F6B
bfd_086920,#BF8F6B
bfd_010504,#BF8F6B
bfd_120372,#C3CAD7
bfd_032490,#BF8F6B
bfd_006187,#C3CAD7
bfd_152081,#C3CAD7
bfd_105480,#BF8F6B
bfd_037572,#995FBC
bfd_119432,#BF8F6B
bfd_077605,#BF8F6B
bfd_034098,#C3CAD7
bfd_010371,#BF8F6B
bfd_039402,#BF8F6B
bfd_030355,#FF9536
bfd_000391,#C3CAD7
bfd_026266,#BF8F6B
bfd_049091,#BF8F6B
bfd_122012,#995FBC
bfd_001351,#BF8F6B
bfd_025171,#BF8F6B
bfd_004960,#BF8F6B
bfd_003176,#BF8F6B
bfd_006197,#C3CAD7
bfd_074478,#BF8F6B
bfd_227232,#BF8F6B
bfd_036938,#995FBC
bfd_058303,#995FBC
bfd_025921,#BF8F6B
bfd_015718,#BF8F6B
bfd_062385,#BF8F6B
bfd_015486,#BF8F6B
bfd_001464,#C3CAD7
bfd_026193,#BF8F6B
bfd_017879,#BF8F6B
bfd_031557,#BF8F6B
bfd_038654,#C3CAD7
bfd_098217,#BF8F6B
bfd_021683,#BF8F6B
bfd_082089,#C3CAD7
bfd_029345,#BF8F6B
bfd_051685,#BF8F6B
bfd_080184,#995FBC
bfd_019130,#BF8F6B
bfd_066840,#BF8F6B
bfd_022366,#BF8F6B
bfd_038366,#C3CAD7
bfd_089424,#BF8F6B
bfd_058252,#C3CAD7
bfd_076399,#BF8F6B
bfd_033893,#BF8F6B
bfd_036731,#BF8F6B
bfd_011988,#C3CAD7
bfd_028822,#BF8F6B
bfd_067550,#C3CAD7
bfd_014090,#C3CAD7
bfd_045563,#C3CAD7
bfd_018866,#C3CAD7
bfd_064291,#BF8F6B
bfd_048155,#BF8F6B
bfd_022755,#BF8F6B
bfd_023776,#C3CAD7
bfd_027188,#BF8F6B
bfd_066292,#BF8F6B
bfd_006317,#C3CAD7
bfd_090471,#BF8F6B
bfd_072972,#BF8F6B
bfd_064558,#BF8F6B
bfd_017644,#C3CAD7
bfd_075600,#BF8F6B
bfd_022381,#BF8F6B
bfd_065346,#BF8F6B
bfd_000284,#995FBC
bfd_033760,#BF8F6B
bfd_001403,#BF8F6B
bfd_048905,#BF8F6B
bfd_030420,#BF8F6B
bfd_031708,#BF8F6B
bfd_011509,#BF8F6B
bfd_033161,#BF8F6B
bfd_088841,#BF8F6B
bfd_060801,#BF8F6B
bfd_058965,#BF8F6B
bfd_061556,#BF8F6B
bfd_017598,#BF8F6B
bfd_025668,#C3CAD7
bfd_043818,#BF8F6B
bfd_039131,#BF8F6B
bfd_007051,#BF8F6B
bfd_011169,#C3CAD7
bfd_050069,#C3CAD7
bfd_133328,#C3CAD7
bfd_077231,#BF8F6B
bfd_004874,#BF8F6B
bfd_012214,#BF8F6B
bfd_036184,#BF8F6B
bfd_065391,#BF8F6B
bfd_163895,#BF8F6B
bfd_001926,#C3CAD7
bfd_075023,#BF8F6B
bfd_071824,#BF8F6B
bfd_026739,#BF8F6B
bfd_007663,#C3CAD7
bfd_002177,#C3CAD7
bfd_012077,#BF8F6B
bfd_004601,#C3CAD7
bfd_016888,#BF8F6B
bfd_000153,#C3CAD7
bfd_043784,#BF8F6B
bfd_007052,#BF8F6B
bfd_040059,#BF8F6B
bfd_109090,#BF8F6B
bfd_085818,#BF8F6B
bfd_122458,#BF8F6B
bfd_013065,#C3CAD7
bfd_028347,#BF8F6B
bfd_046028,#BF8F6B
bfd_010563,#C3CAD7
bfd_028201,#BF8F6B
bfd_028605,#BF8F6B
bfd_001830,#BF8F6B
bfd_015438,#BF8F6B
bfd_051355,#BF8F6B
bfd_000348,#C3CAD7
bfd_046394,#C3CAD7
bfd_092814,#BF8F6B
bfd_006961,#BF8F6B
bfd_062572,#BF8F6B
bfd_017701,#C3CAD7
bfd_116527,#BF8F6B
bfd_080735,#BF8F6B
bfd_060833,#BF8F6B
bfd_011989,#C3CAD7
bfd_104866,#BF8F6B
bfd_020936,#C3CAD7
bfd_141606,#BF8F6B
bfd_006008,#BF8F6B
bfd_030699,#C3CAD7
bfd_002226,#BF8F6B
bfd_031463,#BF8F6B
bfd_059413,#C3CAD7
bfd_088644,#BF8F6B
bfd_050301,#BF8F6B
bfd_176225,#BF8F6B
bfd_146654,#C3CAD7
bfd_085677,#C3CAD7
bfd_116455,#BF8F6B
bfd_009913,#C3CAD7
bfd_014174,#BF8F6B
bfd_019274,#BF8F6B
bfd_031565,#BF8F6B
bfd_032504,#BF8F6B
bfd_051520,#BF8F6B
bfd_001279,#BF8F6B
bfd_037298,#995FBC
bfd_013093,#BF8F6B
bfd_112281,#BF8F6B
bfd_082482,#BF8F6B
bfd_046921,#BF8F6B
bfd_057595,#BF8F6B
bfd_080201,#BF8F6B
bfd_108024,#BF8F6B
bfd_061303,#995FBC
bfd_003308,#BF8F6B
bfd_087399,#BF8F6B
bfd_163944,#BF8F6B
bfd_112759,#BF8F6B
bfd_012997,#BF8F6B
bfd_031435,#BF8F6B
bfd_098421,#BF8F6B
bfd_009559,#BF8F6B
bfd_050648,#BF8F6B
bfd_104253,#BF8F6B
bfd_051318,#BF8F6B
bfd_110733,#BF8F6B
bfd_077513,#BF8F6B
bfd_001439,#BF8F6B
bfd_009500,#C3CAD7
bfd_081987,#C3CAD7
bfd_059683,#BF8F6B
bfd_109368,#BF8F6B
bfd_094863,#995FBC
bfd_022743,#BF8F6B
bfd_025000,#995FBC
bfd_089057,#BF8F6B
bfd_079707,#BF8F6B
bfd_165991,#BF8F6B
bfd_028947,#C3CAD7
bfd_058964,#995FBC
bfd_057217,#BF8F6B
bfd_031944,#BF8F6B
bfd_051232,#BF8F6B
bfd_076463,#BF8F6B
bfd_023978,#BF8F6B
bfd_019731,#BF8F6B
bfd_116159,#BF8F6B
bfd_045399,#C3CAD7
bfd_018852,#BF8F6B
bfd_031319,#BF8F6B
bfd_109284,#BF8F6B
bfd_053366,#2E2D97
bfd_068759,#C3CAD7
bfd_000434,#C3CAD7
bfd_021991,#C3CAD7
bfd_031831,#BF8F6B
bfd_085630,#C3CAD7
bfd_172036,#BF8F6B
bfd_007050,#BF8F6B
bfd_174457,#BF8F6B
bfd_037042,#C3CAD7
bfd_028367,#BF8F6B
bfd_013918,#BF8F6B
bfd_049651,#BF8F6B
bfd_048580,#BF8F6B
bfd_049641,#BF8F6B
bfd_071416,#BF8F6B
bfd_033290,#C3CAD7
bfd_216966,#BF8F6B
bfd_000429,#C3CAD7
bfd_004165,#BF8F6B
bfd_043601,#C3CAD7
bfd_002181,#C3CAD7
bfd_052012,#BF8F6B
bfd_036331,#BF8F6B
bfd_194381,#BF8F6B
bfd_127443,#C3CAD7
bfd_008612,#C3CAD7
bfd_085584,#BF8F6B
bfd_012967,#94CCFC
bfd_064445,#BF8F6B
bfd_005169,#C3CAD7
bfd_013553,#C3CAD7
bfd_060806,#BF8F6B
bfd_026942,#BF8F6B
bfd_003242,#C3CAD7
bfd_040245,#BF8F6B
bfd_133578,#BF8F6B
bfd_050136,#BF8F6B
bfd_104593,#BF8F6B
bfd_010816,#FF9481
bfd_042205,#BF8F6B
bfd_006867,#C3CAD7
bfd_087572,#BF8F6B
bfd_043375,#BF8F6B
bfd_019022,#BF8F6B
bfd_050474,#BF8F6B
bfd_079324,#BF8F6B
bfd_096861,#BF8F6B
bfd_106226,#BF8F6B
bfd_064508,#BF8F6B
bfd_002636,#BF8F6B
bfd_051323,#BF8F6B
bfd_064276,#BF8F6B
bfd_010869,#BF8F6B
bfd_057808,#BF8F6B
bfd_212696,#BF8F6B
bfd_068989,#C3CAD7
bfd_071347,#BF8F6B
bfd_031524,#BF8F6B
bfd_128681,#C3CAD7
bfd_119389,#BF8F6B
bfd_061071,#BF8F6B
bfd_126738,#C3CAD7
bfd_004007,#BF8F6B
bfd_018016,#C3CAD7
bfd_061284,#BF8F6B
bfd_122437,#BF8F6B
bfd_051414,#BF8F6B
bfd_212974,#BF8F6B
bfd_102219,#BF8F6B
bfd_093022,#BF8F6B
bfd_119206,#BF8F6B
bfd_045760,#BF8F6B
bfd_040053,#BF8F6B
bfd_129036,#BF8F6B
bfd_028156,#BF8F6B
bfd_007634,#BF8F6B
bfd_079215,#C3CAD7
bfd_012187,#FF9481
bfd_014017,#BF8F6B
bfd_003751,#C3CAD7
bfd_026847,#BF8F6B
bfd_057756,#BF8F6B
bfd_016480,#FF9481
bfd_088479,#BF8F6B
bfd_057367,#BF8F6B
bfd_081053,#C3CAD7
bfd_001272,#C3CAD7
bfd_063723,#BF8F6B
bfd_122385,#BF8F6B
bfd_031395,#BF8F6B
bfd_072916,#BF8F6B
bfd_040453,#BF8F6B
bfd_022838,#C3CAD7
bfd_032225,#BF8F6B
bfd_098874,#BF8F6B
bfd_014310,#BF8F6B
bfd_030199,#BF8F6B
bfd_040417,#BF8F6B
bfd_006559,#BF8F6B
bfd_050582,#BF8F6B
bfd_121884,#BF8F6B
bfd_020747,#BF8F6B
bfd_030354,#BF8F6B
bfd_203913,#BF8F6B
bfd_001498,#BF8F6B
bfd_090010,#BF8F6B
bfd_047256,#BF8F6B
bfd_011790,#C3CAD7
bfd_051699,#BF8F6B
bfd_018442,#BF8F6B
bfd_061552,#BF8F6B
bfd_035222,#BF8F6B
bfd_095565,#C3CAD7
bfd_090517,#BF8F6B
bfd_053425,#BF8F6B
bfd_004637,#C3CAD7
bfd_046145,#C3CAD7
bfd_129787,#BF8F6B
bfd_012178,#BF8F6B
bfd_009453,#995FBC
bfd_040439,#BF8F6B
bfd_140420,#BF8F6B
bfd_118270,#BF8F6B
bfd_024611,#BF8F6B
bfd_083602,#BF8F6B
bfd_111095,#BF8F6B
bfd_055242,#BF8F6B
bfd_077578,#BF8F6B
bfd_002492,#995FBC
bfd_085100,#BF8F6B
bfd_168654,#BF8F6B
bfd_012418,#995FBC
bfd_009849,#C3CAD7
bfd_049097,#BF8F6B
bfd_067348,#995FBC
bfd_048767,#BF8F6B
bfd_061944,#BEDF7C
bfd_072427,#BF8F6B
bfd_100426,#BF8F6B
bfd_049560,#BF8F6B
bfd_088531,#BF8F6B
bfd_021871,#BF8F6B
bfd_014777,#BF8F6B
bfd_051848,#995FBC
bfd_001381,#BF8F6B
bfd_008909,#995FBC
bfd_021526,#BF8F6B
bfd_088848,#BF8F6B
bfd_033196,#BF8F6B
bfd_040364,#BF8F6B
bfd_116905,#BF8F6B
bfd_225219,#BF8F6B
bfd_003769,#C3CAD7
bfd_078116,#BF8F6B
bfd_012226,#BF8F6B
bfd_033404,#BF8F6B
bfd_036086,#C3CAD7
bfd_004600,#995FBC
bfd_018367,#BF8F6B
bfd_008039,#C3CAD7
bfd_033889,#C3CAD7
bfd_008252,#C3CAD7
bfd_004079,#BF8F6B
bfd_005466,#C3CAD7
bfd_185891,#BF8F6B
bfd_015847,#BF8F6B
bfd_083995,#BF8F6B
bfd_083578,#BF8F6B
bfd_060951,#BF8F6B
bfd_127737,#BF8F6B
bfd_000155,#C3CAD7
bfd_001129,#C3CAD7
bfd_027722,#BF8F6B
bfd_071415,#BF8F6B
bfd_156609,#C3CAD7
bfd_146671,#C3CAD7
bfd_043531,#995FBC
bfd_046800,#FF9481
bfd_087467,#BF8F6B
bfd_009419,#C3CAD7
bfd_024398,#BEDF7C
bfd_141999,#C3CAD7
bfd_104693,#BF8F6B
bfd_142212,#BF8F6B
bfd_037010,#BF8F6B
bfd_064162,#995FBC
bfd_138246,#C3CAD7
bfd_041271,#BF8F6B
bfd_007532,#C3CAD7
bfd_136216,#C3CAD7
bfd_030205,#BF8F6B
bfd_004197,#BF8F6B
bfd_038882,#995FBC
bfd_007446,#BF8F6B
bfd_095570,#BF8F6B
bfd_030290,#BF8F6B
bfd_003898,#BF8F6B
bfd_208077,#C3CAD7
bfd_087593,#BF8F6B
bfd_025734,#C3CAD7
bfd_079564,#BF8F6B
bfd_040043,#BF8F6B
bfd_001040,#BF8F6B
bfd_033011,#BF8F6B
bfd_029659,#BF8F6B
bfd_102428,#94CCFC
bfd_067365,#BF8F6B
bfd_027484,#2E2D97
bfd_003246,#C3CAD7
bfd_026951,#BF8F6B
bfd_052078,#BF8F6B
bfd_007618,#FF9481
bfd_046825,#BF8F6B
bfd_021936,#BF8F6B
bfd_041818,#BF8F6B
bfd_088557,#BF8F6B
bfd_049082,#C3CAD7
bfd_052619,#BF8F6B
bfd_090970,#BF8F6B
bfd_041142,#C3CAD7
bfd_043382,#C3CAD7
bfd_047575,#BF8F6B
bfd_043174,#BF8F6B
bfd_012837,#995FBC
bfd_026732,#BF8F6B
bfd_024448,#BF8F6B
bfd_064166,#BF8F6B
bfd_102413,#BF8F6B
bfd_038006,#BF8F6B
bfd_034677,#995FBC
bfd_046897,#BF8F6B
bfd_037507,#BF8F6B
bfd_062901,#C3CAD7
bfd_087671,#995FBC
bfd_066531,#995FBC
bfd_049442,#C3CAD7
bfd_000646,#C3CAD7
bfd_068991,#995FBC
bfd_007774,#BF8F6B
