From	Entry	Entry Name	Organism (ID)	Organism
A4UUM6	A4UUM6	A4UUM6_ROSOF	39367	Rosmarinus officinalis (Rosemary) (Salvia rosmarinus)
A4KAG8	A4KAG8	KSL6_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
A4KAG7	A4KAG7	KSL5_ORYSI	39946	Oryza sativa subsp. indica (Rice)
A1DN30	A1DN30	NFSS_NEOFI	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)
A1CVK0	A1CVK0	PDSA_NEOFI	331117	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)
A0A7D0AGU9	A0A7D0AGU9	TPS_MATON	2912585	Matsumurasca onukii (Tea green leafhopper) (Empoasca onukii)
A0A5S9I252	A0A5S9I252	TATC6_HYPAT	63577	Hypocrea atroviridis (Trichoderma atroviride)
A0A5Q0QU70	A0A5Q0QU70	AGR3_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QSI8	A0A5Q0QSI8	AGR5_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QRJ3	A0A5Q0QRJ3	AGR1_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QP64	A0A5Q0QP64	AGR4_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QNJ2	A0A5Q0QNJ2	AGR2_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QNH9	A0A5Q0QNH9	AGR7_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QN66	A0A5Q0QN66	AGR6_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QMX1	A0A5Q0QMX1	AGR8_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A5Q0QMX0	A0A5Q0QMX0	AGR9_CYCAE	1973307	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)
A0A3G9EJT8	A0A3G9EJT8	A0A3G9EJT8_CHESC	48093	Chengiopanax sciadophylloides (Koshiabura) (Acanthopanax sciadophylloides)
A0A3G9ED98	A0A3G9ED98	A0A3G9ED98_CHESC	48093	Chengiopanax sciadophylloides (Koshiabura) (Acanthopanax sciadophylloides)
A0A3G9EAS3	A0A3G9EAS3	A0A3G9EAS3_9APIA	257409	Eleutherococcus sieboldianus
A0A1Y1C7Q5	A0A1Y1C7Q5	QNN1_EMEVA	1549217	Emericella variicolor (Aspergillus stellatus)
A0A1V1FVQ6	A0A1V1FVQ6	OBLA_EMEVA	1549217	Emericella variicolor (Aspergillus stellatus)
A0A1U8QHE3	A0A1U8QHE3	PBCA_EMENI	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
A0A169T193	A0A169T193	EVAS_EMEVA	1549217	Emericella variicolor (Aspergillus stellatus)
A0A0P0ZEM1	A0A0P0ZEM1	STLSS_EMEVA	1549217	Emericella variicolor (Aspergillus stellatus)
A0A0P0ZD79	A0A0P0ZD79	EVVS_EMEVA	1549217	Emericella variicolor (Aspergillus stellatus)
